name,code,date,case
Uzbekistan,UZB,2021,1485
Vanuatu,VUT,2021,1
Venezuela,VEN,2021,5328
Vietnam,VNM,2021,32394
Yemen,YEM,2021,1984
Zambia,ZMB,2021,3734
Zimbabwe,ZWE,2021,5004
Afghanistan,AFG,2022,7683
Albania,ALB,2022,3496
Algeria,DZA,2022,6875
Andorra,AND,2022,153
Angola,AGO,2022,1900
Antarctica,ATA,2022,0
Antigua and Barbuda,ATG,2022,137
Argentina,ARG,2022,128653
Armenia,ARM,2022,8622
Australia,AUS,2022,7423
Austria,AUT,2022,18200
Azerbaijan,AZE,2022,9709
Bahamas,BHS,2022,798
Bahrain,BHR,2022,1476
Bangladesh,BGD,2022,29127
Barbados,BRB,2022,399
Belarus,BLR,2022,6958
Belgium,BEL,2022,31494
Belize,BLZ,2022,676
Benin,BEN,2022,163
Bhutan,BTN,2022,21
Bolivia,BOL,2022,21923
Bosnia and Herzegovina,BIH,2022,15768
Botswana,BWA,2022,2690
Brazil,BRA,2022,663994
Brunei,BRN,2022,218
Bulgaria,BGR,2022,36953
Burkina Faso,BFA,2022,383
Burma,MMR,2022,19434
Burundi,BDI,2022,38
Cambodia,CMR,2022,3056
Cameroon,CAN,2022,1927
Canada,CPV,2022,39529
Capo Verde,KHM,2022,401
Central African Republic,CAF,2022,113
Chad,TCD,2022,193
Chile,CHL,2022,57580
China,CHN,2022,14469
Colombia,COL,2022,139797
Comoros,COM,2022,160
Congo ,COG,2022,385
Costa Rica,CRI,2022,8421
Cote d'Ivoire,CIV,2022,799
Croatia,HRV,2022,15856
Cuba,CUB,2022,8527
Cyprus,CYP,2022,1020
Czechia,CZE,2022,40194
Denmark,DNK,2022,6256
Djibouti,DJI,2022,189
Dominica,DMA,2022,63
Dominican Republic,DOM,2022,4376
Ecuador,ECU,2022,35598
Egypt,EGY,2022,24641
El Salvador,SLV,2022,4128
Equatorial Guinea,GNQ,2022,183
Eritrea,ERI,2022,103
Estonia,EST,2022,2548
Ethiopia,ETH,2022,7510
Fiji,FJI,2022,862
Finland,FIN,2022,3939
France,FRA,2022,147413
Gabon,GAB,2022,304
Gambia,GMB,2022,365
Georgia,GEO,2022,16811
Germany,DEU,2022,136125
Ghana,GHA,2022,1445
Greece,GRC,2022,29284
Grenada,GRD,2022,220
Guatemala,GTM,2022,17636
Guinea,GIN,2022,442
Guinea-Bissau,GNB,2022,171
Guyana,GUY,2022,1228
Haiti,HTI,2022,835
Holy See,VAT,2022,0
Honduras,HND,2022,10895
Hungary,HUN,2022,46266
Iceland,ISL,2022,119
India,IND,2022,523975
Indonesia,IDN,2022,156321
Iran,IRN,2022,141138
Iraq,IRQ,2022,25212
Ireland,IRL,2022,7103
Israel,ISR,2022,10699
Italy,ITA,2022,164041
Jamaica,JAM,2022,2970
Japan,JPN,2022,29706
Jordan,JOR,2022,14066
Kazakhstan,KAZ,2022,19013
Kenya,KEN,2022,5649
Kiribati,KIR,2022,13
Kuwait,KWT,2022,2555
Kyrgyzstan,KGZ,2022,2991
Laos,LAO,2022,746
Latvia,LVA,2022,5777
Lebanon,LBN,2022,10392
Lesotho,LSO,2022,697
Liberia,LBR,2022,294
Libya,LBY,2022,6430
Liechtenstein,LIE,2022,84
Lithuania,LTU,2022,9111
Luxembourg,LUX,2022,1068
Madagascar,MDG,2022,1391
Malawi,MWI,2022,2634
Malaysia,MYS,2022,35567
Maldives,MDV,2022,298
Mali,MLI,2022,732
Malta,MLT,2022,703
Marshall Islands,MHL,2022,0
Mauritania,MRT,2022,982
Mauritius,MUS,2022,996
Mexico,MEX,2022,324334
Micronesia, Federated States of,2022,0
Monaco,MCO,2022,57
Mongolia,MNG,2022,2179
Montenegro,MNE,2022,2716
Morocco,MAR,2022,16069
Mozambique,MOZ,2022,2201
Namibia,NAM,2022,4025
Nepal,NPL,2022,11952
Netherlands,NLD,2022,22893
New Zealand,NZL,2022,775
Nicaragua,NIC,2022,235
Niger,NER,2022,309
Nigeria,NGA,2022,3143
North Macedonia,MNP,2022,9283
Norway,NOR,2022,3006
Oman,OMN,2022,4258
Pakistan,PAK,2022,30369
Palau,PLW,2022,6
Panama,PAN,2022,8189
Papua New Guinea,PNG,2022,650
Paraguay,PRY,2022,18870
Peru,PER,2022,212891
Philippines,PHL,2022,60439
Poland,POL,2022,116070
Portugal,PRT,2022,22355
Qatar,QAT,2022,677
Romania,ROU,2022,65510
Russia,RUS,2022,368840
Rwanda,RWA,2022,1459
Saint Kitts and Nevis,KNA,2022,43
Saint Lucia,LCA,2022,368
Saint Vincent and the Grenadines,VCT,2022,106
Samoa,WSM,2022,20
San Marino,SMR,2022,115
Sao Tome and Principe,STP,2022,73
Saudi Arabia,SAU,2022,9094
Senegal,SEN,2022,1966
Serbia,SRB,2022,16013
Seychelles,SYC,2022,166
Sierra Leone,SLE,2022,125
Singapore,SGP,2022,1340
Slovakia,SVK,2022,19943
Slovenia,SVN,2022,6602
Solomon Islands,SLB,2022,141
Somalia,SOM,2022,1361
South Africa,ZAF,2022,100407
Spain,ESP,2022,104668
Sri Lanka,LKA,2022,16507
Sudan,SDN,2022,4933
Suriname,SUR,2022,1328
Sweden,SWE,2022,18772
Switzerland,CHE,2022,13719
Syria,SYR,2022,3150
Taiwan*,TWN,2022,881
Tajikistan,TJK,2022,125
Thailand,THA,2022,28860
Timor-Leste,TLS,2022,130
Togo,TGO,2022,273
Tonga,TON,2022,11
Trinidad and Tobago,TTO,2022,3843
Tunisia,TUN,2022,28566
Turkey,TUR,2022,98808
Uganda,UGA,2022,3597
Ukraine,URY,2022,112459
United Arab Emirates,ARE,2022,2302
United Kingdom,GBR,2022,176188
Uruguay,URY,2022,7210
US,USA,2022,996704
Uzbekistan,UZB,2022,1637
Vanuatu,VUT,2022,14
Venezuela,VEN,2022,5709
Vietnam,VNM,2022,43047
Yemen,YEM,2022,2149
Zambia,ZMB,2022,3976
Zimbabwe,ZWE,2022,5471
